,Product:,Sale Date:,Category:,Quantity:,Total Price:,Total Profit:,Payment Type:,Customer Details:
0,White Tie and Shirt Set,01-01-2025,Men — Shirts,5,175.00,66.50,Credit Card,Cust ID: 7097From: DublinGender: FemaleAge Range: 25-34
1,White Tie and Shirt Set,01-01-2025,Men — Shirts,5,175.00,66.50,Credit Card,Cust ID: 7097From: DublinGender: FemaleAge Range: 25-34
2,Floral Embroidered Kaftan,2025-01-01,Children — Girls Clothing,1,32.00,16.32,Debit Card,Customer ID: 10753Location LaoisGender: FAge Group: 35—44
3,Floral Embroidered Kaftan,2025-01-01,Children — Girls Clothing,1,32.00,16.32,Debit Card,Customer ID: 10753Location LaoisGender: FAge Group: 35—44
4,Black Loose Fit Jeans,2025-01-02,Men — Jeans,1,29.00,11.60,Credit Card,ID 17356Age Category: 55—64City: MayoGender: Male
5,Black Loose Fit Jeans,2025-01-02,Men — Jeans,1,29.00,11.60,Credit Card,ID 17356Age Category: 55—64City: MayoGender: Male
6,Dark Wash Straight Fit Jeans,2025-01-02,Men — Jeans,1,€ 33.00,€ 13.20,Credit Card,Age Range: 35-44Gender: MaleLocation: LouthCustomer ID: 9750
7,Dark Wash Straight Fit Jeans,2025-01-02,Men — Jeans,1,€ 33.00,€ 13.20,Credit Card,Age Range: 35-44Gender: MaleLocation: LouthCustomer ID: 9750
8,Rose Print Prom Dress,2025-01-02,Children — Girls Clothing,1,€ 37.00,€ 18.87,Credit Card,ID: 12591City: DublinGender: FemaleAge Group: 35-44
9,Rose Print Prom Dress,2025-01-02,Children — Girls Clothing,1,€ 37.00,€ 18.87,Credit Card,ID: 12591City: DublinGender: FemaleAge Group: 35-44
10,Orange/Navy Shorts Three Pack,2025-01-02,Children — Girls Clothing,2,EUR 33.00,EUR 16.83,Credit Card,Location KerryCust ID: 7822Gender: FemaleAge Group: 45-54
11,Orange/Navy Shorts Three Pack,2025-01-02,Children — Girls Clothing,2,EUR 33.00,EUR 16.83,Credit Card,Location KerryCust ID: 7822Gender: FemaleAge Group: 45-54
12,Dark Wash Straight Fit Jeans,2025-01-03,Men —  Jeans,-1,EUR 33.00,EUR 13.20,Debit Card,Customer ID: 18791City: DublinGender: MaleAge Range: 25-34
13,Dark Wash Straight Fit Jeans,2025-01-03,Men —  Jeans,-1,EUR 33.00,EUR 13.20,Debit Card,Customer ID: 18791City: DublinGender: MaleAge Range: 25-34
14,Dawson Trolley,2025-01-03,Homeware — Design,1,€57.00,€22.80,Credit Card,Customer ID: 12619City: KildareGender: FemaleAge Range: 18-24
15,Dawson Trolley,2025-01-03,Homeware — Design,1,€57.00,€22.80,Credit Card,Customer ID: 12619City: KildareGender: FemaleAge Range: 18-24
16,Light Blue Ditsy Slub Dress,2025-01-03,Women — Dresses,1,20.25,9.00,Credit Card,Cust ID: 17834Location: LaoisGender: MaleAge Category: 35-44
17,Light Blue Ditsy Slub Dress,2025-01-03,Women — Dresses,1,20.25,9.00,Credit Card,Cust ID: 17834Location: LaoisGender: MaleAge Category: 35-44
18,Black Signature Point Court Shoes,03-01-2025,Men — Shoes,2,88.00,39.60,Debit Card,Cust ID: 1331Location DublinGender: FemaleAge Range: 25-34
19,Black Signature Point Court Shoes,03-01-2025,Men — Shoes,2,88.00,39.60,Debit Card,Cust ID: 1331Location DublinGender: FemaleAge Range: 25-34
20,Navy Linen Blend Dress,2025-01-03,Women — Dresses,1,EUR 30.00,EUR 15.00,Credit Card,ID 17762City: DublinGender: FemaleAge Range: 18-24
21,Navy Linen Blend Dress,2025-01-03,Women — Dresses,1,EUR 30.00,EUR 15.00,Credit Card,ID 17762City: DublinGender: FemaleAge Range: 18-24
22,Mid Blue Straight Fit Jeans,03-01-2025,Men — Jeans,1,EUR 38.00,EUR 15.20,CC,ID: 7124Age Range: 18-24City: MeathGender: Female
23,Mid Blue Straight Fit Jeans,03-01-2025,Men — Jeans,1,EUR 38.00,EUR 15.20,CC,ID: 7124Age Range: 18-24City: MeathGender: Female
24,Blue Stripe Snuggle Fit Pyjamas,2025-01-04,Children — Boys Clothing,4,€ 74.00,€ 37.74,Debit Card,Cust ID: 3006Location DublinGender: FemaleAge Category: 25-34
25,Blue Stripe Snuggle Fit Pyjamas,2025-01-04,Children — Boys Clothing,4,€ 74.00,€ 37.74,Debit Card,Cust ID: 3006Location DublinGender: FemaleAge Category: 25-34
26,White Short Sleeve Oxford Shirt,04 Jan 2025,Men — Shirts,1,€53.00,€20.14,Debit Card,Customer ID: 3091City: DublinGender: FAge Group: 35-44
27,White Short Sleeve Oxford Shirt,04 Jan 2025,Men — Shirts,1,€53.00,€20.14,Debit Card,Customer ID: 3091City: DublinGender: FAge Group: 35-44
28,White Short Sleeve Bird Print Shirt,04 Jan 2025,Men — Shirts,1,€29.00,€11.02,Debit Card,Customer ID: 5995Age Category: 25-34From: SligoGender: Male
29,White Short Sleeve Bird Print Shirt,04 Jan 2025,Men — Shirts,1,€29.00,€11.02,Debit Card,Customer ID: 5995Age Category: 25-34From: SligoGender: Male
30,Lattice Runner,05-01-2025,Homeware  — Design,2,€ 172.00,€ 68.80,Credit Card,ID: 5968Location DublinGender: MaleAge Category: 35-44
31,Lattice Runner,05-01-2025,Homeware  — Design,2,€ 172.00,€ 68.80,Credit Card,ID: 5968Location DublinGender: MaleAge Category: 35-44
32,Pink Slim Fit Double Cuff Shirt,2025-01-05,Men — Shirts,1,29.00,11.02,Debit Card,Age: 25–34Customer ID: 10059Gender: FFrom: Carlow
33,Pink Slim Fit Double Cuff Shirt,2025-01-05,Men — Shirts,1,29.00,11.02,Debit Card,Age: 25–34Customer ID: 10059Gender: FFrom: Carlow
34,Cydney Plaid Shirt,2025-01-05,Women —  Tops,1,EUR 51.30,EUR 28.50,Credit Card,Customer ID: 9975Location DublinGender: Prefer not to sayAge Category: 25-34
35,Cydney Plaid Shirt,2025-01-05,Women —  Tops,1,EUR 51.30,EUR 28.50,Credit Card,Customer ID: 9975Location DublinGender: Prefer not to sayAge Category: 25-34
36,Mola Headlamp,06 Jan 2025,Homeware — Design,2,77.40,25.80,Credit Card,Location DublinAge: 18-24Gender: FemaleID: 4072
37,Mola Headlamp,06 Jan 2025,Homeware — Design,2,77.40,25.80,Credit Card,Location DublinAge: 18-24Gender: FemaleID: 4072
38,Black Single Cuff Shirt,2025-01-06,Men — Shirts,3,€126.00,€47.88,Debit Card,ID: 2819From: DublinGender: MaleAge Range: 55-64
39,Black Single Cuff Shirt,2025-01-06,Men — Shirts,3,€126.00,€47.88,Debit Card,ID: 2819From: DublinGender: MaleAge Range: 55-64
40,Dark Wash Straight Fit Jeans,2025-01-06,Men — Jeans,1,€ 33.00,€ 13.20,Credit Card,Customer ID: 11694Location: LouthGender: FemaleAge Category: 25-34
41,Dark Wash Straight Fit Jeans,2025-01-06,Men — Jeans,1,€ 33.00,€ 13.20,Credit Card,Customer ID: 11694Location: LouthGender: FemaleAge Category: 25-34
42,White Short Sleeve Oxford Shirt,2025-01-06,Men —  Shirts,-1,53.00,20.14,Debit Card,Customer ID: 3766Location DonegalGender: FemaleAge: 35–44
43,White Short Sleeve Oxford Shirt,2025-01-06,Men —  Shirts,-1,53.00,20.14,Debit Card,Customer ID: 3766Location DonegalGender: FemaleAge: 35–44
44,Lilac/Mint Long Sleeve Shirts,2025-01-06,Children  — Girls Clothing,2,EUR 52.00,EUR 26.52,Debit Card,ID 17553Location: DublinGender: Prefer not to sayAge: 25–34
45,Lilac/Mint Long Sleeve Shirts,2025-01-06,Children  — Girls Clothing,2,EUR 52.00,EUR 26.52,Debit Card,ID 17553Location: DublinGender: Prefer not to sayAge: 25–34
